Broden ID,WordNet Name,WordNet ID
12,wall.n.01,n04546855
13,sky.n.01,n09436708
14,floor.n.01,n03365592
15,windowpane.n.01,n04589745
16,tree.n.01,n13104059
17,wood.n.01,n15098161
18,building.n.01,n02913152
19,person.n.01,n00007846
20,paint.n.01,n03875218
21,head.n.01,n05538625
22,leg.n.01,n05560787
23,door.n.01,n03221720
24,fabric.n.01,n03309808
25,ceiling.n.01,n02990373
26,torso.n.01,n05549830
27,table.n.02,n04379243
28,arm.n.01,n05563770
29,eye.n.01,n05311054
30,glass.n.01,n14881303
31,road.n.01,n04096066
32,ear.n.01,n05320899
33,grass.n.01,n12102133
34,metallic_element.n.01,n14625458
35,plant.n.02,n00017222
36,chair.n.01,n03001627
37,nose.n.01,n05598147
38,car.n.01,n02958343
39,neck.n.01,n05546540
40,painting.n.01,n03876519
41,rug.n.01,n04118021
42,hand.n.01,n05564590
43,sidewalk.n.01,n04215402
44,wheel.n.01,n04574999
45,cabinet.n.01,n02933112
46,light.n.02,n03665366
47,signboard.n.01,n04217882
48,mirror.n.01,n03773035
49,tile.n.01,n04435180
50,lamp.n.01,n03636248
51,hair.n.01,n05254795
52,land.n.04,n09334396
53,mouth.n.01,n05302499
54,curtain.n.01,n03151077
55,pole.n.01,n03976657
56,mountain.n.01,n09359803
57,fence.n.01,n03327234
58,foot.n.01,n05563266
60,streetlight.n.01,n04335886
61,bed.n.01,n02818832
62,eyebrow.n.01,n05313535
63,sofa.n.01,n04256520
64,handle.n.01,n03485997
65,box.n.01,n02883344
66,tail.n.01,n02157557
67,muzzle.n.02,n02452464
68,earth.n.02,n14842992
69,plastic.n.01,n14592610
70,bottle.n.01,n02876657
71,paper.n.01,n14974264
72,shelf.n.01,n04190052
73,headlight.n.01,n03503997
74,drawer.n.01,n03233905
75,water.n.01,n14845743
76,railing.n.01,n04047401
77,cushion.n.03,n03151500
78,book.n.01,n06410904
79,flower.n.01,n11669921
80,granite.n.01,n14890286
81,back.n.03,n08625846
82,shade.n.01,n13984613
84,ceramic.n.01,n02997391
85,rock.n.01,n09416076
86,seat.n.01,n08647616
87,paw.n.01,n02439929
88,vase.n.01,n04522168
89,pot.n.01,n03990474
90,pot.n.04,n03991062
91,sink.n.01,n04223580
92,column.n.04,n13900422
93,dog.n.01,n02084071
94,food.n.01,n00021265
95,armchair.n.01,n02738535
96,faucet.n.01,n03325088
97,socket.n.03,n04255034
98,body.n.01,n05216365
99,knob.n.01,n03626115
100,sconce.n.04,n04148579
101,pillow.n.01,n03938244
102,floor.n.03,n06658118
103,headboard.n.01,n03502200
104,stairs.n.01,n04298171
105,cat.n.01,n02121620
106,license_plate.n.01,n03661180
107,plate.n.04,n03959485
